Tube,Volume,AllCells,HB,HiNA,MedNA,LowNA
A01 S_T01_R1_1,30,170.26,94.08,25.14,19.1,73.78
A02 S_T01_R2_1,30,150.96,88.93,32.28,17.84,45.25
A03 S_T02_R1_1,30,248.55,176.28,29.2,59.8,100.81
A04 S_T02_R2_1,30,313.12,225.81,29.9,75.67,138.38
A05 S_T03_R1_1,30,339.37,244.5,21.4,72.2,171.9
A06 S_T03_R2_1,30,322.58,236.84,24.97,74.4,154.67
A07 S_T04_R1_1,30,464.94,352.61,22.23,88.9,251.34
A08 S_T04_R2_1,30,464.01,345.11,18.6,78.2,288.31
A09 blank,30,189.37,135.1,9.8,39.9,91.67
A10 S_T05_R1_1,30,598.6,454.73,23.5,101.23,379.3
A11 S_T05_R2_1,30,524,398.2,17.13,93.57,316.9
A12 S_T06_R1_1,30,569.13,424.17,9.73,75.17,393.17
B01 S_T01_R1_2,30,124.03,69.47,15.2,12.9,48.73
B02 S_T01_R2_2,30,131.13,79.23,27.83,15.07,39.57
B03 S_T02_R1_2,30,312.58,233.94,35.2,82.17,131.07
B04 S_T02_R2_2,30,268.71,194.4,24.47,62.28,118.82
B05 S_T03_R1_2,30,317.55,239.24,18.23,65.8,169.41
B06 S_T03_R2_2,30.2,419,317.99,25.21,100.74,210.59
B07 S_T04_R1_2,30,401.5,306.43,17.87,76.5,232.4
B08 S_T04_R2_2,30,459.01,345.11,16.73,76.57,286.01
B09 blank,30,9.63,3.93,0.3,2,2.77
B10 S_T05_R1_2,30,505.8,379.17,16.97,84.97,329.6
B11 S_T05_R2_2,30,392.86,295.08,18.73,71,234.25
B12 S_T06_R1_2,30,457.97,341.83,7.47,61.97,309.07
C01 S_T06_R2_1,30.1,444.37,339,8.11,62.62,292.73
C02 S_T07_R1_1,30,1180.26,1062.25,111.57,710.52,247.66
C03 S_T07_R2_1,30,976.54,849.77,87.27,493.07,298.77
C04 S_T08_R1_1,30,1602.25,1484.35,139.8,1098.18,277.17
C05 S_T08_R2_1,30,1695.87,1565.8,143.47,1170.46,271.51
C06 blank,30.1,20.77,14.46,1.2,11.33,3.69
C07 blank,30,6.7,3.17,0.3,2.93,1.03
C08 blank,30,4.53,1.43,0.13,1.27,0.63
C09 blank,30,4.3,1.37,0.23,1.43,0.57
C10 S_T11_R1_1,30,2402.57,2085.53,312.37,1541.37,314.83
C11 S_T11_R2_1,30,3108.6,2926.83,326.87,2363.6,245
C12 S_T00_1,30,416.03,281.67,2.87,47.7,274.33
D01 S_T06_R2_2,30,411.73,309.7,6.07,56.57,273.63
D02 S_T07_R1_2,30,1120.4,1013.1,99.2,682.79,234.84
D03 S_T07_R2_2,30,872.07,766.6,90.63,446.33,263.33
D04 S_T08_R1_2,30,1385.72,1281.02,123.57,947.41,236.9
D05 S_T08_R2_2,30,1644.46,1517.29,122.4,1136.98,266.37
D06 blank,30,19.84,14.57,1.33,11.37,2.7
D07 blank,30,6.53,3.3,0.17,2.7,1.07
D08 blank,30.1,4.35,1.36,0.1,1.3,0.57
D09 blank,30,3.7,1.37,0.17,1.03,0.4
D10 S_T11_R1_2,30,2248.24,1962.47,284.27,1454,292.6
D11 S_T11_R2_2,30.1,2987.69,2831.9,373.76,2199.78,234.33
D12 S_T00_2,30,422.13,288.2,3.57,54.27,273.23
E01 blank,30,11.73,6.97,0.6,4.6,3.03
E02 blank,30.2,6.09,2.42,0.4,2.45,0.5
E03 L_T02_R1_1,30,159.04,115.54,14.33,28.07,82.4
E04 L_T02_R2_1,30,110.83,82.47,3.67,15.57,55.63
E05 L_T03_R1_1,30,226.47,166.76,12.87,32.57,131.52
E06 L_T03_R2_1,30,160.27,119.49,3.63,17.7,97.92
E07 L_T04_R1_1,30,275.27,206.23,6.43,36.23,179.57
E08 L_T04_R2_1,30,237.27,177.3,5.07,28.5,159.44
E09 blank,30,6.87,3.2,0.13,1.57,1.97
E10 L_T05_R1_1,30,338.47,267.44,9.93,70.97,202.24
E11 L_T05_R2_1,30,303.11,233.91,8.1,49.33,194.87
E12 L_T06_R1_1,30,357.44,272.29,3.37,41.41,249.75
F01 blank,30,9.5,5.07,0.27,2.13,2.67
F02 blank,30,5.6,2.2,0.2,1.2,1.07
F03 L_T02_R1_1,30,150.03,106.45,12.54,27.07,73.58
F04 L_T02_R2_2,30,121.15,85.11,2.57,12.57,62.94
F05 L_T03_R1_2,30,237.77,174.23,11.97,31.87,138.27
F06 L_T03_R2_2,30,162.7,121.47,3.73,16.63,97.67
F07 L_T04_R1_2,30,245.4,183.37,5.17,30.17,159.27
F08 L_T04_R2_2,30,243.91,179.64,4.33,25.93,165.24
F09 L_T05_R1_2,30,5.67,2.9,0.17,1,1.8
F10 L_T05_R2_2,30,341.07,266.2,7.87,71.13,206.8
F11 L_T06_R1_2,30,263.17,202.6,5.4,42.63,173.23
F12 L_T06_R2_2,30,317.97,239.2,2.87,39.23,215.07
G01 L_T06_R2_1,30,414.51,315.61,3,44.83,300.21
G02 L_T07_R1_1,30,531.21,445.21,30.7,224.17,206.7
G03 L_T07_R2_1,30,543.83,454.83,31.63,189.77,246.43
G04 L_T08_R1_1,30,689.81,582.4,56.9,342.4,205.64
G05 L_T08_R2_1,30,606.2,526.93,37.03,287.07,203.37
G06 L_T09_R1_1,30,971.18,866.05,77.6,560.84,244.04
G07 L_T09_R2_1,30,618.32,549.52,45.74,343.55,159.97
G08 L_T10_R1_1,30,1296.2,1170.44,125.23,843.5,221.47
G09 L_T10_R2_1,30,1645.7,1499.07,158.8,1111.83,241.5
G10 L_T11_R1_1,30.2,517.04,444.16,47.64,198.33,166.89
G11 L_T11_R2_1,30,2614.92,2389.62,287.64,1873.22,270.07
G12 L_T00_1,30,354.84,217.21,3.33,41.4,233.77
H01 L_T06_R2_2,30,465.64,323.53,3.7,47.14,338.99
H02 L_T07_R1_2,30,610.93,527.06,35.23,261.04,240.84
H03 L_T07_R2_2,30,448.41,369.4,24.57,154.52,197.65
H04 L_T08_R1_2,30,719.97,623.63,55.1,371.8,215.93
H05 L_T08_R2_2,30,602.67,519.3,40.63,282.3,202.6
H06 L_T09_R1_2,30,830,737.93,59.97,485.3,202.13
H07 L_T09_R2_2,30,841.09,748.76,64.77,486.02,222.44
H08 L_T10_R1_2,30,1225.24,1084.68,112.93,774.64,213.3
H09 L_T10_R2_2,30,430.63,389.53,37.57,199.3,118.27
H10 L_T11_R1_2,30,1343.57,1138.03,180.1,759,213.43
H11 L_T11_R2_2,30,2408.64,2229.38,274.27,1748.01,229.93
H12 L_T00_2,30,359.73,201.35,3.93,42.6,223.25
