Experiment Name:,Exp_20200811_HB

Tube Name:,Record Time:,Volume(μL):,Comment:,All Events  Events/μL(V),singlets Events/μL(V),SYBR Events/μL(V),Pico Events/μL(V),Bac Events/μL(V),All Events ,singlets Events,SYBR Events,Pico Events,Bac Events,All Events  % Parent,singlets % Parent,SYBR % Parent,Pico % Parent,Bac % Parent,All Events  % Total,singlets % Total,SYBR % Total,Pico % Total,Bac % Total,All Events  Mean FSC-H,singlets Mean FSC-H,SYBR Mean FSC-H,Pico Mean FSC-H,Bac Mean FSC-H,All Events  Mean BL525-H,singlets Mean BL525-H,SYBR Mean BL525-H,Pico Mean BL525-H,Bac Mean BL525-H,All Events  Mean BL690-H,singlets Mean BL690-H,SYBR Mean BL690-H,Pico Mean BL690-H,Bac Mean BL690-H
2-1 T0 1,2020-08-11 16:18:44,45.0,,233.77,221.91,105.14,127.48,98.99,10519,9985,4731,5736,4454,100.00%,94.92%,82.48%,57.45%,94.14%,100.00%,94.92%,44.98%,54.53%,42.34%,22844.5,17947.9,2363.3,2477.6,2311.9,66185.5,59021.1,79304.7,70548.2,78297.6,7264.7,5237.2,2789.3,2569.5,2246.5
2-1 T0 2,2020-08-11 16:20:48,45.0,,365.14,347.03,182.23,210.52,170.76,16431,15616,8200,9473,7684,100.00%,95.04%,86.56%,60.66%,93.71%,100.00%,95.04%,49.91%,57.65%,46.77%,19800.4,15022.4,2375.9,2459.6,2320.8,62454.6,53982.2,71809.8,64760.1,72224.9,9271.3,6004.3,2622.1,2510.4,2137.5
2-1 T0 3,2020-08-11 16:25:05,45.0,,411.56,401.76,287.90,328.97,265.19,18518,18077,12954,14802,11932,100.00%,97.62%,87.52%,81.88%,92.11%,100.00%,97.62%,69.95%,79.93%,64.43%,12513.6,9767.4,2267.6,2315.3,2208.8,66470.8,60385.0,69752.5,63725.1,68859.0,5945.2,4033.8,3029.8,2848.4,2063.0
2-1 T0 4,2020-08-11 16:27:04,45.0,,531.57,517.59,361.70,404.23,339.83,23920,23291,16276,18190,15292,100.00%,97.37%,89.48%,78.10%,93.95%,100.00%,97.37%,68.04%,76.05%,63.93%,11243.9,8858.4,2312.5,2375.5,2265.2,65731.1,59061.5,68149.6,62801.7,67507.5,5789.0,3948.6,2807.1,2680.6,2020.2
2-1 T0 5,2020-08-11 16:28:46,45.0,,544.89,531.38,381.18,429.38,363.33,24520,23912,17153,19322,16350,100.00%,97.52%,88.77%,80.80%,95.32%,100.00%,97.52%,69.96%,78.80%,66.68%,10089.0,8141.5,2230.7,2296.4,2191.7,63496.6,56837.9,65339.1,59853.7,64895.7,5664.5,3789.8,2255.3,2182.0,1925.0
2-1 T0 6,2020-08-11 16:30:45,45.0,,657.09,643.82,493.22,548.80,467.67,29569,28972,22195,24696,21045,100.00%,97.98%,89.87%,85.24%,94.82%,100.00%,97.98%,75.06%,83.52%,71.17%,7796.7,6349.8,2184.8,2237.7,2150.1,64053.1,58768.1,65753.5,60982.5,65053.4,4931.0,3433.8,2489.3,2398.5,1939.1
2-1 T0 7,2020-08-11 16:32:08,45.0,,807.18,791.96,606.42,678.46,536.39,36322,35637,27288,30530,24137,100.00%,98.11%,89.38%,85.67%,88.45%,100.00%,98.11%,75.13%,84.05%,66.45%,7840.3,6416.0,2293.0,2341.5,2189.7,66082.7,58430.1,63390.9,58673.5,63151.5,5595.9,3849.4,2718.2,2626.8,1925.2
2-1 T0 8,2020-08-11 16:34:07,45.0,,739.94,733.08,614.05,688.37,512.38,33297,32988,27632,30976,23057,100.00%,99.07%,89.20%,93.90%,83.44%,100.00%,99.07%,82.99%,93.03%,69.25%,4330.6,3764.4,2367.3,2408.3,2220.7,70472.7,61802.4,64068.9,59340.9,64703.2,5883.1,3966.3,2935.6,2850.4,1983.1
2-1 T0 9,2020-08-11 16:36:25,45.0,,691.70,683.66,567.25,634.25,457.25,31125,30763,25525,28540,20575,100.00%,98.84%,89.44%,92.77%,80.61%,100.00%,98.84%,82.01%,91.69%,66.10%,5364.7,4230.7,2491.7,2539.0,2298.9,76893.9,63698.2,64929.7,60134.6,66064.4,7325.3,4145.9,3007.2,2952.5,2023.4
2-1 T0 10,2020-08-11 16:38:48,45.0,,807.53,790.20,588.82,664.93,432.29,36339,35559,26497,29922,19453,100.00%,97.85%,88.55%,84.15%,73.42%,100.00%,97.85%,72.92%,82.34%,53.53%,8618.0,6533.5,2432.5,2509.2,2164.8,75481.1,60848.8,62156.0,57679.8,65935.5,9064.1,4585.9,2871.7,2872.6,2006.1
2-1 T0 11,2020-08-11 16:40:23,45.0,,700.92,684.58,506.83,570.14,403.25,31541,30806,22807,25656,18146,100.00%,97.67%,88.90%,83.28%,79.56%,100.00%,97.67%,72.31%,81.34%,57.53%,10029.2,7332.2,2436.9,2518.0,2238.0,81783.5,63234.9,65857.9,61089.1,68645.8,11889.8,5624.5,2846.8,2853.0,2081.4
2-1 T12 1-1,2020-08-11 16:44:18,45.0,,251.21,244.33,184.59,210.26,173.08,11304,10994,8306,9461,7788,100.00%,97.26%,87.79%,86.06%,93.76%,100.00%,97.26%,73.48%,83.70%,68.90%,7685.2,6676.6,2831.3,2817.6,2784.1,154516.0,141161.0,170181.7,153731.4,177241.1,5690.8,5192.5,4982.7,4574.0,4909.8
2-1 T12 2-1,2020-08-11 16:46:24,45.0,,426.89,413.42,258.40,297.18,228.11,19210,18604,11628,13373,10265,100.00%,96.85%,86.95%,71.88%,88.28%,100.00%,96.85%,60.53%,69.61%,53.44%,12844.3,10530.4,2621.0,2700.7,2507.6,94585.9,85224.8,111341.7,99977.2,116868.8,7099.0,5167.6,3824.7,3634.7,3330.9
2-1 T12 3-1,2020-08-11 16:48:10,45.0,,394.29,386.73,287.98,321.02,264.44,17743,17403,12959,14446,11900,100.00%,98.08%,89.71%,83.01%,91.83%,100.00%,98.08%,73.04%,81.42%,67.07%,9042.3,7387.9,2442.9,2505.8,2342.4,94125.6,83903.9,97124.6,89199.2,97090.4,7119.9,3998.9,3577.4,3366.5,2811.4
2-1 T12 4-1,2020-08-11 16:49:40,45.0,,341.51,335.87,258.36,290.07,243.29,15368,15114,11626,13053,10948,100.00%,98.35%,89.07%,86.36%,94.17%,100.00%,98.35%,75.65%,84.94%,71.24%,6927.1,6164.9,2365.6,2430.4,2299.8,79825.6,73334.3,83862.6,76843.1,83311.4,4201.1,3705.8,2976.6,2809.7,2487.8
2-1 T12 5-1,2020-08-11 16:54:07,45.0,,674.60,664.38,519.23,584.11,467.21,30355,29895,23364,26283,21023,100.00%,98.48%,88.89%,87.92%,89.98%,100.00%,98.48%,76.97%,86.59%,69.26%,5446.7,4728.0,2518.0,2575.2,2427.6,75544.5,71264.8,79935.0,72878.7,80222.5,3786.6,3269.3,3000.2,2823.1,2384.7
2-1 T12 6-1,2020-08-11 16:55:35,45.0,,753.57,736.72,554.17,624.37,502.36,33910,33152,24937,28096,22606,100.00%,97.76%,88.76%,84.75%,90.65%,100.00%,97.76%,73.54%,82.85%,66.66%,7151.6,5715.6,2481.1,2566.3,2371.9,77104.0,70010.9,79033.1,72062.6,77133.7,5259.0,3714.7,3148.4,2974.7,2241.3
2-1 T12 7-1,2020-08-11 16:57:16,45.0,,1866.80,1820.79,1667.42,1731.08,1560.53,84005,81935,75033,77898,70223,100.00%,97.54%,96.32%,95.07%,93.59%,100.00%,97.54%,89.32%,92.73%,83.59%,4412.5,3862.6,2810.2,2823.4,2759.7,193797.2,185449.0,192631.4,187219.7,201328.5,7104.8,5928.5,5694.2,5590.4,5513.2
2-1 T12 8-1,2020-08-11 16:59:00,45.0,,2550.71,2473.31,2348.38,2410.18,2221.95,114782,111299,105677,108458,99988,100.00%,96.97%,97.44%,97.45%,94.62%,100.00%,96.97%,92.07%,94.49%,87.11%,3668.4,3355.6,2855.8,2863.4,2821.8,217645.0,210090.0,214110.8,209864.0,222456.3,7467.4,6540.0,6339.6,6270.6,6327.6
2-1 T12 9-1,2020-08-11 17:01:00,45.0,,3549.54,3406.81,3169.08,3249.28,2968.79,159729,153306,142608,146217,133595,100.00%,95.98%,97.53%,95.38%,93.68%,100.00%,95.98%,89.28%,91.54%,83.64%,4356.0,3872.1,2943.5,2954.8,2898.5,224738.4,216213.0,221778.1,217546.8,232139.7,7930.0,6864.4,6559.5,6491.3,6604.3
2-1 T12 10-1,2020-08-11 17:02:37,45.0,,3414.44,3286.27,3102.67,3185.44,2921.93,153650,147882,139620,143345,131487,100.00%,96.25%,97.40%,96.93%,94.17%,100.00%,96.25%,90.87%,93.29%,85.58%,3789.3,3479.2,2889.3,2901.7,2860.6,226527.5,219287.2,224955.7,220507.5,235152.2,7641.9,6723.9,6464.1,6393.8,6529.7
2-1 T12 11-1,2020-08-11 17:04:23,45.0,,2090.03,2034.19,1852.54,1944.72,1708.63,94051,91538,83364,87512,76888,100.00%,97.33%,95.26%,95.60%,92.23%,100.00%,97.33%,88.64%,93.05%,81.75%,4510.4,3807.2,2767.0,2785.6,2700.7,190209.2,180009.7,187102.0,179988.8,197914.9,8329.0,5874.2,5459.4,5340.2,5423.3
2-1 T12 1-2,2020-08-11 17:08:07,45.0,,188.71,185.53,136.20,163.47,127.69,8492,8349,6129,7356,5746,100.00%,98.32%,83.32%,88.11%,93.75%,100.00%,98.32%,72.17%,86.62%,67.66%,6596.0,5889.5,2641.5,2639.0,2582.0,127135.7,117243.2,142905.6,122652.7,147420.5,5076.0,4580.4,4271.1,3793.4,4111.5
2-1 T12 2-2,2020-08-11 17:09:38,45.0,,280.66,276.84,213.01,246.73,194.94,12629,12457,9585,11102,8772,100.00%,98.64%,86.34%,89.12%,91.52%,100.00%,98.64%,75.90%,87.91%,69.46%,7318.3,6023.4,2547.2,2578.1,2471.0,113865.5,104016.7,119256.4,106116.8,122925.0,8487.2,6397.0,3966.6,3639.1,3510.6
2-1 T12 3-2,2020-08-11 17:11:29,45.0,,371.76,365.24,288.38,323.60,262.60,16729,16436,12977,14562,11817,100.00%,98.25%,89.12%,88.60%,91.06%,100.00%,98.25%,77.57%,87.05%,70.64%,7817.4,5796.0,2468.0,2533.7,2371.5,106999.9,92650.0,102187.3,93589.7,102374.2,8580.5,4902.1,3804.3,3580.6,2959.1
2-1 T12 4-2,2020-08-11 17:13:21,45.0,,416.38,409.13,316.09,360.67,298.38,18737,18411,14224,16230,13427,100.00%,98.26%,87.64%,88.15%,94.40%,100.00%,98.26%,75.91%,86.62%,71.66%,6754.7,5666.8,2315.8,2363.7,2251.8,78384.9,72662.5,81625.7,73934.0,81028.2,3946.8,3372.0,2820.5,2641.4,2397.1
2-1 T12 5-2,2020-08-11 17:15:11,45.0,,494.50,486.87,377.43,427.50,351.87,22252,21909,16984,19237,15834,100.00%,98.46%,88.29%,87.80%,93.23%,100.00%,98.46%,76.33%,86.45%,71.16%,7795.4,6331.7,2320.8,2382.5,2230.9,80436.5,71900.3,79745.2,72589.3,78448.3,6149.5,4209.6,2918.4,2742.9,2277.3
2-1 T12 6-2,2020-08-11 17:16:56,45.0,,554.44,548.00,459.56,512.64,418.93,24950,24660,20680,23069,18852,100.00%,98.84%,89.64%,93.55%,91.16%,100.00%,98.84%,82.89%,92.46%,75.56%,5023.8,4380.0,2300.2,2338.3,2204.3,77123.6,69256.0,74288.4,68393.9,71794.8,5114.5,3767.7,3017.0,2839.5,2099.9
2-1 T12 7-2,2020-08-11 17:18:33,45.0,,1356.31,1326.02,1186.51,1247.11,1105.60,61034,59671,53393,56120,49752,100.00%,97.77%,95.14%,94.05%,93.18%,100.00%,97.77%,87.48%,91.95%,81.52%,4915.8,4094.1,2744.8,2764.3,2705.2,182908.6,174319.4,184454.5,177290.7,192972.8,7658.0,5823.6,5512.9,5374.8,5340.8
2-1 T12 8-2,2020-08-11 17:20:14,45.0,,2256.93,2193.53,2084.31,2131.18,1981.78,101562,98709,93794,95903,89180,100.00%,97.19%,97.80%,97.16%,95.08%,100.00%,97.19%,92.35%,94.43%,87.81%,3738.1,3416.9,2874.7,2882.6,2844.2,216034.2,208803.9,211623.1,208112.9,219290.7,7275.7,6389.8,6086.2,6033.2,6097.7
2-1 T12 9-2,2020-08-11 17:21:54,45.0,,2939.52,2838.81,2705.05,2760.41,2526.34,132278,127746,121727,124218,113685,100.00%,96.57%,97.99%,97.24%,93.39%,100.00%,96.57%,92.02%,93.91%,85.94%,3755.0,3386.2,2864.4,2877.8,2828.9,231865.0,222609.6,224354.7,221624.2,235793.0,7877.6,6790.5,6436.4,6404.7,6500.1
2-1 T12 10-2,2020-08-11 17:23:38,45.0,,3465.80,3313.62,3074.22,3167.55,2911.97,155960,149112,138339,142539,131038,100.00%,95.61%,97.05%,95.59%,94.72%,100.00%,95.61%,88.70%,91.39%,84.02%,5760.1,3885.8,2898.0,2934.0,2866.2,228731.0,214639.3,220445.7,215559.3,229249.5,8608.6,6539.3,6213.7,6136.2,6250.2
2-1 T12 11-2,2020-08-11 17:25:21,45.0,,1828.42,1779.89,1619.24,1697.38,1499.20,82279,80095,72866,76382,67464,100.00%,97.35%,95.40%,95.36%,92.59%,100.00%,97.35%,88.56%,92.83%,81.99%,4521.0,3855.3,2736.9,2754.9,2676.3,189556.3,180527.2,188244.7,181086.3,198738.2,7818.3,5907.1,5475.4,5356.7,5441.3
